band,left,unnamed:2,unnamed:3,unnamed:4,unnamed:5,unnamed:6,unnamed:7,unnamed:8,unnamed:9,unnamed:10,keyword,right,unnamed:13,unnamed:14,unnamed:15,unnamed:16,unnamed:17,unnamed:18,unnamed:19,unnamed:20,unnamed:21,context,adjectives
Buch4,Italien,Die,Minorität,des,Senats,selbst,und,alles,was,nicht,Senat,war,verdammten,einmütig,diese,Regierung,für,die,die,Ehre,und,Italien Senat war,[]
Buch4,Sünder,zu,gerichtlicher,Verantwortung,ziehen,zu,wollen,drohte,ließ,der,Senat,es,geschehen,daß,der,Krieg,an,Jugurtha,erklärt,ward,642,Sünder Senat es,[]
Buch4,den,gemeinen,senatorischen,Durchschnittspreis,Die,Rechtsbeständigkeit,des,Friedens,ward,im,Senat,ernstlich,angefochten,Gaius,Memmius,erklärte,daß,der,König,wenn,er,den Senat ernstlich,[]
Buch4,des,souveränen,Volkes,und,seiner,höchsten,Beamten,Inzwischen,gingen,im,Senat,die,Verhandlungen,über,die,Gültigkeit,des,soeben,abgeschlossenen,Friedens,weiter,des Senat die,[]
Buch4,Massiva,seine,Ansprüche,auf,das,erledigte,Numidische,Reich,bei,dem,Senat,geltend,zu,machen,worauf,Bomilkar,einer,der,Vertrauten,des,Königs,Massiva Senat geltend,[]
Buch4,römischen,Regierung,verübte,Verbrechen,bewirkte,wenigstens,so,viel,daß,der,Senat,nun,den,Frieden,kassierte,und,den,König,aus,der,Stadt,römischen Senat nun,['römisch']
Buch4,Joch,sofortige,Räumung,des,ganzen,numidischen,Gebiets,Erneuerung,des,vom,Senat,kassierten,Bündnisvertrages,von,Jugurtha,diktiert,und,von,den,Römern,angenommen,Joch Senat kassierten,[]
Buch4,in,ihre,Kompetenz,zu,greifen,und,es,blieb,lediglich,dem,Senat,überlassen,dem,numidischen,Skandal,in,der,für,die,Aristokratie,möglichst,in Senat überlassen,[]
Buch4,mochte,wohl,selbst,der,adligste,Adlige,anfangen,zu,begreifen,Der,Senat,kassierte,zunächst,auch,den,zweiten,Friedensvertrag,den,Oberbefehlshaber,der,ihn,mochte Senat kassierte,[]
Buch4,Gracchus,die,Entscheidung,über,die,jedesmaligen,Kompetenzen,der,Konsuln,dem,Senat,zustand,unter,Umstoßung,der,vom,Senat,getroffenen,Verfügung,die,den,Gracchus Senat zustand,[]
Buch4,Kompetenzen,der,Konsuln,dem,Senat,zustand,unter,Umstoßung,der,vom,Senat,getroffenen,Verfügung,die,den,Metellus,an,seiner,Stelle,ließ,durch,Kompetenzen Senat getroffenen,['getroffen']
Buch4,J,646,auf,Veranlassung,des,Marius,seine,Ansprüche,bei,dem,Senat,geltend,gemacht,hatte,39,Zugleich,wurden,die,gätulischen,Stämme,im,J Senat geltend,[]
Buch4,tat,nicht,möglich,wehrloser,und,verlorener,dazustehen,als,der,römische,Senat,im,J,645,stand,hätte,es,in,Rom,eine,wirkliche,tat Senat im,[]
Buch4,mußte,diese,notwendig,jetzt,wenigstens,einen,Versuch,machen,den,restaurierten,Senat,zu,stürzen,Er,erfolgte,nicht,man,machte,aus,der,politischen,mußte Senat zu,[]
Buch4,Person,des,Königs,und,sandte,ihn,nach,Rom,wo,der,Senat,den,Bruch,des,Treuworts,zwar,mißbilligte,aber,nicht,bloß,den,Person Senat den,[]
Buch4,und,mehr,noch,die,Gründung,von,Narbo,welcher,Ansiedelung,der,Senat,vergeblich,das,Schicksal,der,karthagischen,zu,bereiten,suchte,blieben,als,und Senat vergeblich,[]
